1.ability 能力
2.flexibility 灵活性
3.responsibility 负责
4.possibility 可能性
5.stability 稳定性
6.probability 概率
7.liability 债务，责任
8.delicacy 美味，精致
9.relevancy 关联性
10.privacy 私密性
11.accuracy 准确性
12.literacy 读写能力
13.currency 通货，货币
14.postage 邮资
15.shortage 缺少，短缺
16.percentage 比例，百分比
17.heritage 遗产
18.storage 储存，贮藏，仓库
19.arrival 到达，抵达物，引进，推行
20.refusal 拒绝
21.proposal 提议，建议，求婚
22.approval 批准，认可，同意
23.survival 幸存，生存，残留物
24.disposal 处理，安排
25.librarian 图书管理员
26.musician 音乐家
27.politician 政客
28.physician 内科医生
29.historian 历史学家
30.appearance 外貌，出现
31.reference 参考，提及
32.insurance 保险，保费，保险业
33.tolerance 容忍 忍耐力
34.significance 重要性，意义
35.reliance 依赖，依靠
36.renaissance 文艺复兴
37.distance 距离，遥远，隔阂
38.resistance 抵抗，阻力
39.acceptance 接受，同意
40.acquaintance 熟人，认识，了解
41.alliance 结盟，同盟
42.assistance 帮助，援助
43.entrance 入口，进入
44.maintenance 维护，维修，维持
45.surveillance 监视
46.endurance 忍耐力，耐久力
47.intelligence 智慧，智力
48.consequence 结论，后果
49.presence 存在，出席
50.audience 听众，观众
51.preference 偏爱，偏好
52.defence 防御，防护
53.independence 独立，自主
54.interference 干预，妨碍
55.existence 生存，存在
56.inference 推断，推断结果
57.violence 暴力，狂热
58.sequence 一连串，顺序
59.conference 会议
60.correspond 通信，相关
61.agency 代理机构
62.efficiency 效率
63.tendency 趋势，趋向
64.deficiency 缺乏，缺少
65.expectancy 预料·，期待
66.emergency 紧急情况
67.applicant 申请人
68.correspondent 记者
69.participant 参与者
70.inhabitant 居民，栖息动物
71.servant 仆人，职员
72.merchant 商人
73.descendant 后代，子孙
74.consultant 咨询师，顾问
75.president 总统，国家主席
76.client 委托人，客户
77.resident 居民，住户
78.opponent 对手
79.recipient 接受者
80.constituent 选民，成分
81.incident 事件，事故
82.publication 出版，出版物
83.conversation 会话，谈话
84.conservation 保护，储备，节约
85.confirmation 确认，证实
86.extinction 灭绝
87.application 申请，应用
88.expection 预期，期望
89.reputation 名声，声望
90.implication 含义，暗示
91.explanation 解释
92.formation 形成，编队
93.administration 管理，行政，管理部门
94.foundation 基础，基金会
95.limitation 限制，局限
96.observation 观察，评论
97.imagination 想象，想象力
98.occupation 职业，占领
99.civilization 文明
100.qualification 条件，资格
101.variation 变化，变体
102.combination 结合，联合
103.duration 持续期间
104.preparation 准备
105.revelation 揭露，被披露的真相
106.classification 分类，归类
107.federation 联邦，同盟
108.indignation 愤怒，愤慨
109.obligation 责任，义务
110.temptation 引诱，诱惑
111.declaration 公告，宣言
112.destination 目的地
113.inspiration 灵感，鼓舞人心的人或事
114.generation 一代人，产生
115.situation 情况，场景
116.communication 交流，传播
117.institution 机构，建立
118.emotion 情感，情绪
119.association 协会，联系
120.regulation 规章制度
